AIRPORT,DATE,PHASE,N_VALID,N_M88M60,N_M60M55,N_M55M50,N_M50M45,N_M45M40,N_M40M35,N_M35M30,N_M30M25,N_M25M20,N_M20M15,N_M15M10,N_M10M05,N_M05M00,N_P00P05,N_P05P10,N_P10P15,N_P15P20,N_P20P25,N_P25P30,N_P30P35,N_P35P40,N_P40P45,N_P45P50,N_P50P55,N_P55P60,N_P60P88,EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
LSZH,2019-07-01T00:00:00Z,DEP,12886,593,122,157,203,273,370,514,647,882,1344,1739,2240,2222,1234,208,81,29,3,1,1,2,0,1,1,1,4,0.30878472761136116,0.1724352009933261,0.09576284339593358,0.02242744063324538,0.26819804438925965,0.5994102126338662
LSZH,2019-08-01T00:00:00Z,DEP,12622,524,109,122,174,198,310,431,619,842,1270,1722,2227,2375,1354,225,87,12,7,0,1,0,1,1,0,3,2,0.3128664237046427,0.18816352400570432,0.10727301536998891,0.02471874504832831,0.29543653937569325,0.6330217081286642
LSZH,2019-09-01T00:00:00Z,DEP,12180,354,77,74,102,141,213,337,508,671,1212,1741,2327,2519,1472,309,86,11,2,3,2,0,2,0,2,1,3,0.33399014778325126,0.2068144499178982,0.12085385878489328,0.03243021346469622,0.32766830870279146,0.6940886699507389
LSZH,2019-10-01T00:00:00Z,DEP,12025,299,59,72,104,154,161,243,354,617,944,1506,2197,2716,2000,464,90,25,10,2,0,0,0,1,0,0,0,0.30794178794178795,0.22586278586278585,0.16632016632016633,0.04607068607068607,0.3921829521829522,0.7461954261954262
LSZH,2019-11-01T00:00:00Z,DEP,9914,126,27,33,35,56,81,104,167,329,585,1101,1871,2510,2173,553,127,26,4,2,0,1,0,0,0,0,2,0.29977809158765384,0.25317732499495665,0.2191849909219286,0.06858987290700021,0.4723623159168852,0.8407302804115392
LSZH,2019-12-01T00:00:00Z,DEP,10100,283,50,63,81,127,189,255,345,561,827,1270,1840,2172,1512,401,87,20,4,1,1,2,1,1,0,0,3,0.3079207920792079,0.21504950495049505,0.1497029702970297,0.04831683168316832,0.36475247524752474,0.720990099009901
LSZH,2020-01-01T00:00:00Z,DEP,10295,170,31,38,58,90,94,151,261,391,707,1160,1776,2397,2173,568,175,32,5,3,3,2,1,1,0,0,5,0.28518698397280234,0.2328314715881496,0.21107333657115104,0.07217095677513356,0.4439048081593006,0.8012627489072365
LSZH,2020-02-01T00:00:00Z,DEP,9328,217,42,43,56,90,102,168,233,380,713,1102,1589,2240,1749,437,123,19,8,7,3,1,1,0,0,1,3,0.28848627787307035,0.2401372212692967,0.1875,0.06003430531732418,0.4276372212692968,0.7761578044596913
LSZH,2020-03-01T00:00:00Z,DEP,5572,83,11,11,17,27,34,57,72,136,229,428,802,1300,1549,559,180,47,14,7,3,1,1,0,1,0,1,0.22074659009332376,0.23330940416367552,0.2779971284996411,0.13262742282842785,0.5113065326633166,0.8646805455850682
LSZH,2020-04-01T00:00:00Z,DEP,958,21,1,1,4,4,5,11,9,16,27,58,96,180,220,143,86,39,13,12,3,3,0,1,1,1,3,0.16075156576200417,0.18789144050104384,0.22964509394572025,0.23903966597077245,0.4175365344467641,0.8173277661795407
LSZH,2020-05-01T00:00:00Z,DEP,1533,31,3,5,7,9,11,20,23,30,66,130,203,288,315,193,90,40,31,14,9,4,4,3,1,0,3,0.2172211350293542,0.18786692759295495,0.2054794520547945,0.18460534898891065,0.3933463796477495,0.7951728636660144
LSZH,2020-06-01T00:00:00Z,DEP,2502,38,4,10,13,6,12,26,40,66,135,220,375,580,513,247,112,50,18,12,8,4,2,1,0,2,8,0.2378097521982414,0.23181454836131096,0.2050359712230216,0.14348521183053556,0.4368505195843325,0.8181454836131095
LSZH,2020-07-01T00:00:00Z,DEP,4957,36,10,9,8,16,20,37,44,87,128,316,638,1223,1561,548,200,40,16,9,1,1,3,0,0,1,4,0.19245511398023,0.246721807544886,0.3149082106112568,0.15089772039540045,0.5616300181561428,0.9049828525317732
LSZH,2020-08-01T00:00:00Z,DEP,5419,33,6,6,9,12,18,27,35,76,125,295,595,1151,1847,837,267,50,13,7,2,2,2,1,0,0,2,0.16423694408562464,0.21240081195792584,0.3408377929507289,0.203727625023067,0.5532386049086547,0.9212031740173464
LSZH,2020-09-01T00:00:00Z,DEP,4810,91,3,16,10,13,17,19,32,53,126,226,465,973,1600,776,266,53,21,11,6,3,4,3,2,2,19,0.14365904365904367,0.2022869022869023,0.33264033264033266,0.21663201663201664,0.5349272349272349,0.8952182952182952
LSZH,2020-10-01T00:00:00Z,DEP,4220,66,13,14,10,21,17,31,43,63,111,229,460,834,1220,709,272,59,10,7,7,1,0,3,5,0,13,0.16327014218009478,0.1976303317535545,0.2890995260663507,0.23246445497630333,0.4867298578199052,0.8824644549763033
LSZH,2020-11-01T00:00:00Z,DEP,2830,29,6,8,9,9,12,24,28,61,136,221,415,662,682,316,155,41,7,0,4,0,2,0,2,0,1,0.22473498233215547,0.23392226148409895,0.24098939929328625,0.16643109540636042,0.4749116607773852,0.8660777385159011
LSZH,2020-12-01T00:00:00Z,DEP,3239,53,12,18,18,26,33,53,87,167,218,369,465,772,599,240,77,23,7,1,0,0,0,0,0,0,1,0.257486878666255,0.2383451682618092,0.18493362148811365,0.09786971287434391,0.4232787897499228,0.7786353812905218
LSZH,2021-01-01T00:00:00Z,DEP,2778,117,13,22,25,32,39,52,75,111,189,297,372,586,494,221,93,18,7,5,0,0,2,1,2,1,4,0.2408207343412527,0.210943124550036,0.17782577393808496,0.11303095752339812,0.38876889848812096,0.7426205903527717
LSZH,2021-02-01T00:00:00Z,DEP,2363,44,6,7,8,16,21,42,50,77,161,232,323,538,479,228,94,30,3,1,2,1,0,0,0,0,0,0.23487092678798135,0.2276766821836648,0.20270842149809565,0.13626745662293693,0.4303851036817605,0.8015234870926788
LSZH,2021-03-01T00:00:00Z,DEP,2882,31,7,5,5,16,26,40,62,91,172,284,392,661,613,270,128,38,17,6,8,2,1,1,1,1,4,0.23455933379597504,0.22935461485079808,0.2126995142262318,0.13809854267869534,0.44205412907702984,0.8147120055517002
LSZH,2021-04-01T00:00:00Z,DEP,3393,34,6,6,6,15,22,37,63,74,163,280,433,852,815,341,159,42,10,7,6,1,1,1,1,3,14,0.21013852048334808,0.251105216622458,0.24020041261420572,0.14736221632773358,0.4913056292366637,0.8488063660477454
LSZH,2021-05-01T00:00:00Z,DEP,4014,36,5,7,10,18,23,27,62,97,184,326,600,1030,992,381,142,38,7,4,8,0,3,0,1,1,12,0.2306925759840558,0.25660189337319383,0.2471350274040857,0.130293971101146,0.5037369207772795,0.8647234678624813
LSZH,2021-06-01T00:00:00Z,DEP,5113,79,8,13,16,24,35,56,114,144,247,423,760,1284,1230,441,157,38,17,8,4,1,0,1,3,4,6,0.23137101505965188,0.25112458439272445,0.24056327009583417,0.11695677684334052,0.49168785448855856,0.8400156463915509
LSZH,2021-07-01T00:00:00Z,DEP,7652,161,40,62,53,93,148,192,260,374,563,844,1241,1857,1280,312,109,30,10,6,4,4,0,1,1,0,7,0.2724777835859906,0.242681651855724,0.167276529012023,0.05501829587036069,0.409958180867747,0.7374542603240982
LSZH,2021-08-01T00:00:00Z,DEP,8098,177,47,61,70,75,153,199,258,383,572,840,1285,1920,1428,407,157,28,10,8,3,3,4,2,0,2,6,0.2624104717214127,0.237095579155347,0.17633983699678932,0.06964682637688319,0.4134354161521363,0.7454927142504322
LSZH,2021-09-01T00:00:00Z,DEP,8037,88,19,20,33,54,79,135,165,304,490,873,1325,2082,1607,509,169,36,20,6,3,2,4,2,0,1,11,0.27348513126788604,0.25905188503172827,0.19995023018539257,0.0843598357596118,0.4590021152171208,0.8168470822446187
LSZH,2021-10-01T00:00:00Z,DEP,8369,144,25,34,43,67,86,162,218,373,596,937,1406,2091,1545,428,139,28,13,9,6,2,4,2,1,2,8,0.27996176365157127,0.2498506392639503,0.18460986975743815,0.0677500298721472,0.4344605090213885,0.782172302545107
LSZH,2021-11-01T00:00:00Z,DEP,6623,106,17,8,16,35,54,58,125,273,395,619,1086,1838,1411,412,123,17,9,4,3,3,0,3,3,2,3,0.25743620715687754,0.27751774120489203,0.2130454476823192,0.08077910312547185,0.4905631888872112,0.8287784991695606
LSZH,2021-12-01T00:00:00Z,DEP,6971,147,37,35,50,59,92,159,199,289,498,786,1140,1718,1257,339,103,23,8,6,4,7,2,2,3,0,5,0.2762874766891407,0.24644957681824703,0.18031846220054512,0.06340553722564912,0.4267680390187921,0.766461052933582
